Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,,60,148.3333333,Hưng Yên
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,,,91,94.50549451,Hưng Yên
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,4,,96,100,Hưng Yên
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 14,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,30,126.3333333,Hồ Chí Minh
"Dự án Khu đô thị Phương Đông, Xã Đông Xá, Vân Đồn, Quảng Ninh",,,Nhà phố liền kề,Đã có sổ,3,6,300,31.33333333,Quảng Ninh
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,,,91,109.8901099,Hưng Yên
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,5,65,120,Hưng Yên
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 12,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,46,173.6956522,Hồ Chí Minh
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,7,75,116,Hưng Yên
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",,,Nhà phố liền kề,,3,3,100,33,Bình Dương
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,,84,112.5,Hưng Yên
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 22,"Nhà mặt phố, mặt tiền",Đã có sổ,2,6,60,93.33333333,Hồ Chí Minh
"Dự án Vườn Vua Resort & Villas, Đường 316, Xã Đồng Trung, Thanh Thủy, Phú Thọ",,,Nhà phố liền kề,Đã có sổ,2,4,369,17.07317073,Phú Thọ
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,,,75,102.6666667,Hưng Yên
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 6,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,55,59.09090909,Hồ Chí Minh
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,,78,122.9487179,Hưng Yên
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 9,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,67.4,140.9495549,Hồ Chí Minh
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 16,"Nhà mặt phố, mặt tiền",Đã có sổ,2,2,28,138.5714286,Hồ Chí Minh
"Dự án VSIP 1, Đường D11, Phường An Phú, Thuận An, Bình Dương",,Phường An Phú,Nhà phố liền kề,Đã có sổ,2,7,150,44.66666667,Bình Dương
"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",,Phường Phú Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,1,,72,138.8888889,Hà Nội
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,4,6,78,110.6410256,Hưng Yên
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Phước,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,68,95.58823529,Hồ Chí Minh
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 9,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,43,136.0465116,Hồ Chí Minh
"Ngõ 132, Đường Cầu Giấy, Phường Quan Hoa, Cầu Giấy, Hà Nội",,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,32.8,228.6585366,Hà Nội
"Dự án Sun Casa Central, Đường Dân Chủ, Xã Vĩnh Tân, Tân Uyên, Bình Dương",,,Nhà phố liền kề,,2,4,168,30.95238095,Bình Dương
"Dự án Hoàng Nam Uyên Hưng, Đường Tố Hữu, Phường Uyên Hưng, Tân Uyên, Bình Dương",,Phường Uyên Hưng,Nhà phố liền kề,Đã có sổ,2,2,72,27.77777778,Bình Dương
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,6,70,121.4285714,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Huyện Văn Giang, Hưng Yên",Huyện Văn Giang,,Nhà phố liền kề,Hợp đồng mua bán,5,5,75,108,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,,80,112.5,Hưng Yên
"Xã Lại Thượng, Thạch Thất, Hà Nội",,,,Đã có sổ,2,3,378,20.63492063,Hà Nội
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,4,88,73.86363636,Hưng Yên
"Đường Phú Mỹ, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,54,162.962963,Hà Nội.
"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",,,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,36,106.9444444,Hà Nội
"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",,Phường Yên Hòa,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,41,243.902439,Hà Nội
"Yên Nghĩa, Hà Đông, Hà Nội",,,,Đã có sổ,4,3,35,82.85714286,Hà Nội
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Quận 9,Phường Long Thạnh Mỹ,Nhà phố liền kề,Hợp đồng mua bán,,1,46,93.47826087,Hồ Chí Minh
"Đường Quốc Lộ 17B, Phường Minh Tân, Kinh Môn, Hải Dương",,Phường Minh Tân,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,180,29.44444444,Hải Dương
"Phụng Châu, Chương Mỹ, Hà Nội",,,,Đã có sổ,3,3,38,55.26315789,Hà Nội
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 11,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,45,132.2222222,Hồ Chí Minh
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",,,Nhà phố liền kề,Hợp đồng mua bán,2,4,90,35.55555556,Long An
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,5,4,88,75,Hưng Yên
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",,Phường Tân Phước Khánh,Nhà phố liền kề,Đã có sổ,,4,85,69.41176471,Bình Dương
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",Quận Thủ Đức,Phường Tam Bình,Nhà phố liền kề,,4,4,143.9,66.0180681,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",,,Nhà phố liền kề,,5,,81.3,119.3111931,Hà Nội
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,4,,88,76.13636364,Hưng Yên
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 13,"Nhà mặt phố, mặt tiền",,2,1,38,107.8947368,Hồ Chí Minh
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",Quận Phú Nhuận,Phường 7,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,40,192.5,Hồ Chí Minh
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",Quận 12,Phường Trung Mỹ Tây,"Nhà mặt phố, mặt tiền",Đã có sổ,,,113,54.86725664,Hồ Chí Minh
"Dự án Phú Cường, Đường 3/2, Phường An Hòa, Rạch Giá, Kiên Giang",,Phường An Hòa,Nhà phố liền kề,Hợp đồng mua bán,2,,150,32.66666667,Kiên Giang
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 5,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,69.1,144.7178003,Hồ Chí Minh
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",Quận 9,Phường Long Trường,Nhà phố liền kề,,3,5,100,81,Hồ Chí Minh
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",Quận Phú Nhuận,Phường 12,"Nhà mặt phố, mặt tiền",Đã có sổ,3,,30,238.3333333,Hồ Chí Minh
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",,Phường Tân Phước Khánh,Nhà phố liền kề,Đã có sổ,3,4,85,69.41176471,Bình Dương
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,,,54,150.9259259,Hưng Yên
"Ngõ 401, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,Phường Xuân Đỉnh,"Nhà mặt phố, mặt tiền",,5,6,52.7,144.2125237,Hà Nội
"Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội",,Phường Cống Vị,"Nhà mặt phố, mặt tiền",,4,4,73,130.1369863,Hà Nội
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",,,Nhà phố liền kề,Đã có sổ,,,80,125,Hà Nội
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",,,Nhà phố liền kề,,2,3,120,25.83333333,Bình Thuận
"Dự án Itaewon An Dương, Đường Quốc Lộ 10, Xã Lê Lợi, An Dương, Hải Phòng",,,Nhà phố liền kề,,4,4,82.5,69.21212121,Hải Phòng
"Ngõ 7, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",,Phường Trung Liệt,,,4,4,52,125,Hà Nội
"Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",,Phường Trung Liệt,,Đã có sổ,4,4,45,170,Hà Nội
"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận",,,Nhà phố liền kề,Hợp đồng mua bán,2,3,200,28,Bình Thuận
"Dự án HUD Me Linh Central, Xã Thanh Lâm, Mê Linh, Hà Nội",,,Nhà phố liền kề,,3,4,120,70,Hà Nội
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",Quận 12,Phường Hiệp Thành,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,64,73.4375,Hồ Chí Minh
"Đường Nguyễn Trãi, Phường Nhân Chính, Thanh Xuân, Hà Nội",,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,5,7,50,178,Hà Nội
"Đường Quang Tiến, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",,Phường Đại Mỗ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,36,155.5555556,Hà Nội.
"Dự án Vườn Vua Resort & Villas, Đường Trung Thịnh, Xã Đồng Trung, Thanh Thủy, Phú Thọ",,,Nhà phố liền kề,,,,368,17.11956522,Phú Thọ
"Dự án Sông Hồng Diamond City, Đường 379, Xã Yên Phú, Yên Mỹ, Hưng Yên",,,Nhà phố liền kề,,4,,88,75,Hưng Yên
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",Quận 8,Phường 7,Nhà phố liền kề,Hợp đồng mua bán,2,,156,50,Hồ Chí Minh
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",,,Nhà phố liền kề,Đã có sổ,2,,99.4,95.57344064,Hà Nội.
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,33,150,Hà Nội
"Dự án Thanh Hà Mường Thanh, Phường Kiến Hưng, Hà Đông, Hà Nội",,Phường Kiến Hưng,Nhà phố liền kề,,,,100,75,Hà Nội
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",,4,3,34,85.29411765,Hà Nội
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Quận 9,Phường Trường Thạnh,Nhà phố liền kề,Đã có sổ,3,4,100,65,Hồ Chí Minh
"Dự án Sun Group Hà Nam, Đường Quốc lộ 1A, Xã Tiên Hiệp, Phủ Lý, Hà Nam",,,Nhà phố liền kề,Đã có sổ,4,5,60,75,Hà Nam
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",,Phường Hắc Dịch,Nhà phố liền kề,Đã có sổ,4,4,85,49.41176471,Bà Rịa Vũng Tàu
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",Quận Tân Bình,Phường 3,"Nhà mặt phố, mặt tiền",Đã có sổ,3,,74.02,32.15347203,Hồ Chí Minh giá 2tỷ380
"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,,62.5,120,Hưng Yên
"Dự án Him Lam Thường Tín, Đường ĐT 427B, Thị trấn Thường Tín, Thường Tín, Hà Nội",,,Nhà phố liền kề,Đã có sổ,5,5,87,114.9425287,Hà Nội
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",,,,,,,56,48.21428571,Hồ Chí Minh
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",,,Nhà phố liền kề,,,3,90,61.11111111,Long An
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",Quận 8,Phường 14,Nhà phố liền kề,Hợp đồng mua bán,,,58,79.48275862,Hồ Chí Minh
"Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội",,Phường Trung Hòa,,Đã có sổ,5,5,35,195.7142857,Hà Nội
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 16,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,50.4,74.4047619,Hồ Chí Minh
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",Quận Tân Bình,Phường 13,,Đã có sổ,3,4,54,79.62962963,Hồ Chí Minh
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",Quận Phú Nhuận,Phường 1,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,57.4,70.55749129,Hồ Chí Minh
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,56,116.0714286,Hà Nội
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",,,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,151,21.19205298,Long An
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 5,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,51.75,177.7777778,Hồ Chí Minh
"Đường Ái Mộ, Phường Bồ Đề, Long Biên, Hà Nội",,Phường Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,27,283.3333333,Hà Nội
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phường Phú Hữu,Nhà phố liền kề,,,,115,83.04347826,Hồ Chí Minh
"Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội",,,Nhà phố liền kề,,5,,81,122.2222222,Hà Nội
"Dự án The Standard, Đường Tân Phước Khánh 10, Phường Tân Phước Khánh, Tân Uyên, Bình Dương",,Phường Tân Phước Khánh,Nhà phố liền kề,,2,4,102.8,54.47470817,Bình Dương
"Dự án The Empire - Vinhomes Ocean Park 2, Huyện Văn Giang, Hưng Yên",Huyện Văn Giang,,Nhà phố liền kề,Đã có sổ,,,48,120.8333333,Hưng Yên
"Phường 11, Tân Bình, Hồ Chí Minh",Quận Tân Bình,Phường 11,,,,,55,123.6363636,Hồ Chí Minh
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",Quận Bình Thạnh,Phường 6,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,56.25,76.26666667,Hồ Chí Minh
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà mặt phố, mặt tiền",,2,3,65,61.53846154,Hồ Chí Minh
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",Quận Bình Tân,Phường Bình Trị Đông A,"Nhà mặt phố, mặt tiền",,5,5,80,81.25,Hồ Chí Minh
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Hợp đồng mua bán,,,60,116.6666667,Hưng Yên
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",,Phường Yên Sở,,Đã có sổ,5,3,33,135.7575758,Hà Nội
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",Quận Phú Nhuận,Phường 11,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,38,178.4210526,Hồ Chí Minh
"Dự án Phú Cường, Rạch Giá, Kiên Giang",,,Nhà phố liền kề,Hợp đồng mua bán,,,150,32.66666667,Kiên Giang
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",Quận 6,Phường 11,Nhà phố liền kề,Đã có sổ,3,2,42,154.7619048,Hồ Chí Minh
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,,,60,116.6666667,Hưng Yên
"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",,Phường Thổ Quan,,,6,4,30,188.3333333,Hà Nội
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,,5,,78,125.6410256,Hưng Yên
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",Quận 3,Phường 14,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,43.5,142.5287356,Hồ Chí Minh
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",Quận 10,Phường 9,"Nhà mặt phố, mặt tiền",,2,2,23.9,175.7322176,Hồ Chí Minh
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",Quận Bình Tân,Phường Bình Hưng Hòa,"Nhà mặt phố, mặt tiền",Đã có sổ,,,78.7,69.88564168,Hồ Chí Minh
"Đường 17, Phường Tân Hiệp, Tân Uyên, Bình Dương",,Phường Tân Hiệp,"Nhà mặt phố, mặt tiền",,,,67.5,32.2962963,Bình Dương
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",Quận Tân Phú,Phường Tân Sơn Nhì,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,72,93.05555556,Hồ Chí Minh
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",,,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,60,44.16666667,Hà Nội
"Dự án PiCity High Park, Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh",Quận 12,Phường Thạnh Xuân,Nhà phố liền kề,,2,3,200,50,Hồ Chí Minh
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",,Phường Đống Mác,,Đã có sổ,5,4,36,166.6666667,Hà Nội
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phường Phú Hữu,Nhà phố liền kề,Đã có sổ,3,4,100,84.9,Hồ Chí Minh
"Dự án Eco City Premia, Phường Tân An, Buôn Ma Thuột, Đắk Lắk.",,Phường Tân An,Nhà phố liền kề,Đã có sổ,4,,120,48.75,Đắk Lắk.
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",,,,Đã có sổ,3,3,78,74.35897436,Hà Nội
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Phường Tân Thuận Đông,"Nhà mặt phố, mặt tiền",,2,3,132,53.03030303,Hồ Chí Minh
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Quận 7,Phường Phú Thuận,"Nhà mặt phố, mặt tiền",Đã có sổ,1,2,102,66.66666667,Hồ Chí Minh
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",Quận 7,Phường Tân Thuận Đông,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,101,65.34653465,Hồ Chí Minh
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 11,"Nhà mặt phố, mặt tiền",,1,1,81,71.60493827,Hồ Chí Minh
"Đường Ỷ La, Phường Dương Nội, Hà Đông, Hà Nội",,Phường Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,35,100,Hà Nội
"Dự án Mega Ruby, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Quận 9,Phường Phú Hữu,Nhà phố liền kề,Đã có sổ,3,3,75,102.6666667,Hồ Chí Minh
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",Quận Tân Phú,Phường Tân Quý,"Nhà mặt phố, mặt tiền",Đã có sổ,4,6,62,111.2903226,Hồ Chí Minh
"Dự án Lavilla Green City, Đường Hùng Vương, Phường 6, Tân An, Long An",,Phường 6,Nhà phố liền kề,Đã có sổ,3,,100,39,Long An
"Ngõ 387, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội",,Phường Khương Đình,,Đã có sổ,4,5,42,209.5238095,Hà Nội
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",Quận Gò Vấp,Phường 9,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,143,65.03496503,Hồ Chí Minh
"Dự án Centa Riverside, Đường Hữu Nghị, Phường Phù Chẩn, Từ Sơn, Bắc Ninh",,Phường Phù Chẩn,Nhà phố liền kề,Đã có sổ,3,5,180,53.88888889,Bắc Ninh
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,,75,114.6666667,Hưng Yên
"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",,,Nhà phố liền kề,Đã có sổ,5,,78,120.5128205,Hưng Yên
"Phường Thạch Bàn, Long Biên, Hà Nội",,Phường Thạch Bàn,,Đã có sổ,5,3,33,125.7575758,Hà Nội
"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",,,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,31,93.5483871,Hà Nội
