Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Không rõ,1,3,34,82.35,Hà Nội,,
"Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",Đã có sổ,5,3,32,51.56,Hà Nội,,
"Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,5,6,65,75.38,Hà Nội,,
"Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,45,64.44,Hà Nội,,
"Phường Xuân La, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Xuân La,"Nhà mặt phố, mặt tiền",Không rõ,1,4,79,112.66,Hà Nội,,
"Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,90,108.89,Hà Nội,,
"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,1,5,73,106.85,Hà Nội,,
"Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Không rõ,1,8,40,107.5,Hà Nội,,
"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Không rõ,1,3,45,133.33,Hà Nội,,
"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3,32,60.94,Hà Nội,,
"Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,1,2,18,69.44,Hà Nội,,
"Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,1,4,42,83.81,Hà Nội,,
"Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Đại Mỗ,"Nhà mặt phố, mặt tiền",Đã có sổ,1,3,42,58.33,Hà Nội,,
"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,5,5,45,95.56,Hà Nội,,
"Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,3,2,42,29.76,Hà Nội,,
"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà mặt phố, mặt tiền",Đã có sổ,1,3,46,80.43,Hà Nội,,
"Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4,4,43,50,Hà Nội,,
"Phường Cống Vị, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",Đã có sổ,5,3,25,96,Hà Nội,,
"Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,3,3,45,51.11,Hà Nội,,
"Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,2,35,80.86,Hà Nội,,
"Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,38,68.42,Hà Nội,,
"Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Không rõ,1,4,35,55.71,Hà Nội,,
"Xã Kim Chung, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Kim Chung,"Nhà ngõ, hẻm",Không rõ,1,3,49,36.73,Hà Nội,,
"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Đại Kim,"Nhà ngõ, hẻm",Đã có sổ,1,3,33,80.3,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,1,4,38,73.68,Hà Nội,,
"Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,1,3,32,96.88,Hà Nội,,
"Phường Trung Tự, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",Đã có sổ,5,5,120,125,Hà Nội,,
"Phường Kiến Hưng, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,Đang chờ sổ,3,5,200,47.25,Hà Nội,,
"Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Trúc Bạch,"Nhà ngõ, hẻm",Đã có sổ,1,2,18,69.44,Hà Nội,,
"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Không rõ,1,4,47,57.45,Hà Nội,,
"Phường Đức Giang, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Đức Giang,"Nhà ngõ, hẻm",Không rõ,1,3,36,61.67,Hà Nội,,
"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà ngõ, hẻm",Không rõ,1,4,50,130,Hà Nội,,
"Phường Bưởi, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Bưởi,"Nhà ngõ, hẻm",Không rõ,1,3,51,62.75,Hà Nội,,
"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,Nhà phố liền kề,Không rõ,1,4,32,56.25,Hà Nội,,
"Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,6,11,70,114.29,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,1,4,42,105.95,Hà Nội,,
"Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Không rõ,1,3,30,61.67,Hà Nội,,
"Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,4,30,50,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,1,4,40,98.75,Hà Nội,,
"Xã Tả Thanh Oai, Huyện Thanh Trì, Hà Nội",Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Không rõ,1,4,36,59.72,Hà Nội,,
"Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,1,3,30,91.67,Hà Nội,,
"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,4,34,120.59,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3,27,72.22,Hà Nội,,
"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Không rõ,1,3,34,104.41,Hà Nội,,
"Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,1,4,40,65,Hà Nội,,
"Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,30,82.67,Hà Nội,,
"Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,3,35,114.29,Hà Nội,,
"Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2,18,105.56,Hà Nội,,
"Phường Ngọc Hà, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5,33,136.36,Hà Nội,,
"Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,1,4,30,75,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,1,3,32,81.25,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Không rõ,1,4,40,77.5,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,32,89.06,Hà Nội,,
"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Không rõ,1,3,81,39.51,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,20,97.5,Hà Nội,,
"Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Phú Đô,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,54,101.85,Hà Nội,,
"Phường Liễu Giai, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Liễu Giai,"Nhà ngõ, hẻm",Đã có sổ,1,4,60,109.17,Hà Nội,,
"Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,5,40,68.75,Hà Nội,,
"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà mặt phố, mặt tiền",Không rõ,1,3,45,133.33,Hà Nội,,
"Thị trấn Phùng, Huyện Đan Phượng, Hà Nội",Huyện Đan Phượng,Thị trấn Phùng,"Nhà ngõ, hẻm",Đã có sổ,1,3,40,36.25,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đang chờ sổ,4,3,28,70,Hà Nội,,
"Phường Kim Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3,28,100,Hà Nội,,
"Phường Quang Trung, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Quang Trung,"Nhà mặt phố, mặt tiền",Không rõ,1,3,40,136.25,Hà Nội,,
"Phường Phúc Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phúc Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,5,42,67.86,Hà Nội,,
"Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,4,4,32,84.38,Hà Nội,,
"Phường Trung Phụng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Phụng,"Nhà ngõ, hẻm",Không rõ,1,3,55,54.55,Hà Nội,,
"Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Lĩnh Nam,"Nhà ngõ, hẻm",Không rõ,1,4,38,65.79,Hà Nội,,
"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,1,4,38,131.58,Hà Nội,,
"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà mặt phố, mặt tiền",Đã có sổ,1,5,49,80.61,Hà Nội,,
"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Đình,"Nhà ngõ, hẻm",Không rõ,1,2,55,60,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30,118.33,Hà Nội,,
"Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2,37,53.51,Hà Nội,,
"Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",Đã có sổ,1,3,76,61.18,Hà Nội,,
"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",Đã có sổ,1,1,45,71.11,Hà Nội,,
"Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,62,125.81,Hà Nội,,
"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,4,3,46,81.52,Hà Nội,,
"Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,3,11,131.82,Hà Nội,,
"Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,44,89.77,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,21,100,Hà Nội,,
"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà mặt phố, mặt tiền",Không rõ,5,5,51,76.47,Hà Nội,,
"Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,1,2,33,46.61,Hà Nội,,
"Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Thịnh Liệt,"Nhà ngõ, hẻm",Đã có sổ,1,3,35,71.43,Hà Nội,,
"Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê,"Nhà ngõ, hẻm",Đã có sổ,1,2,55,118.18,Hà Nội,,
"Phường Vạn Phúc, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,35,71.43,Hà Nội,,
"Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà mặt phố, mặt tiền",Không rõ,1,4,36,116.67,Hà Nội,,
"Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Đã có sổ,1,2,30,71.67,Hà Nội,,
"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",Đã có sổ,5,4,40,70,Hà Nội,,
"Phường Khâm Thiên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",Không rõ,1,3,45,106.67,Hà Nội,,
"Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",Đã có sổ,4,4,36,65.28,Hà Nội,,
"Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,55,51.82,Hà Nội,,
"Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3,2,30,60,Hà Nội,,
"Phường Đức Giang, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Đức Giang,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,196,80.61,Hà Nội,,
"Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",Đã có sổ,5,5,45,91.11,Hà Nội,,
"Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",Đã có sổ,5,4,37,78.38,Hà Nội,,
"Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",Đã có sổ,5,4,45,128.89,Hà Nội,,
"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",Không rõ,1,3,21,85.71,Hà Nội,,
"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",Đã có sổ,5,6,60,125,Hà Nội,,
"Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,25,96,Hà Nội,,
"Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,34,63.24,Hà Nội,,
"Phường Văn Quán, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",Không rõ,1,6,60,81.67,Hà Nội,,
"Phường Tương Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",Đã có sổ,4,4,48,62.5,Hà Nội,,
"Phường Mai Động, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",Đã có sổ,4,4,34,120.59,Hà Nội,,
"Phường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,1,3,32,78.13,Hà Nội,,
"Phường Cầu Dền, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",Không rõ,1,4,44,78.41,Hà Nội,,
"Phường Phú Lương, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú Lương,"Nhà ngõ, hẻm",Đã có sổ,1,4,44,50,Hà Nội,,
"Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bạch Đằng,"Nhà ngõ, hẻm",Đã có sổ,1,4,47,123.4,Hà Nội,,
"Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,40,50,Hà Nội,,
"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3,33,65.15,Hà Nội,,
"Phường Láng Thượng, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Láng Thượng,"Nhà ngõ, hẻm",Đã có sổ,1,4,52,86.54,Hà Nội,,
"Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Không rõ,1,3,24,81.25,Hà Nội,,
"Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,5,48,114.58,Hà Nội,,
"Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 1,"Nhà ngõ, hẻm",Không rõ,1,3,33,87.88,Hà Nội,,
"Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",Đang chờ sổ,2,2,30,28.33,Hà Nội,,
"Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,1,2,36,138.89,Hà Nội,,
"Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Trương Định,"Nhà ngõ, hẻm",Không rõ,1,3,36,69.44,Hà Nội,,
"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,2,3,81,39.51,Hà Nội,,
"Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Thanh Nhàn,"Nhà ngõ, hẻm",Đã có sổ,1,2,47,70.21,Hà Nội,,
"Phường Cự Khối, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Cự Khối,"Nhà ngõ, hẻm",Không rõ,1,3,32,52.81,Hà Nội,,
"Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",Không rõ,1,4,56,83.04,Hà Nội,,
"Phường Đội Cấn, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,1,3,27,166.67,Hà Nội,,
"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,45,64.44,Hà Nội,,
"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,1,3,30,95,Hà Nội,,
"Phường Thịnh Quang, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Thịnh Quang,"Nhà mặt phố, mặt tiền",Đã có sổ,1,6,50,90,Hà Nội,,
"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",Không rõ,1,5,55,181.82,Hà Nội,,
"Phường Gia Thụy, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Gia Thụy,"Nhà ngõ, hẻm",Không rõ,1,4,32,82.81,Hà Nội,,
"Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,4,2,30,86.67,Hà Nội,,
