Địa chỉ,Quận,Huyện,Loại hình nhà ở,Giấy tờ pháp lý,Số tầng,Số phòng ngủ,Diện tích,Giá (triệu đồng/m2),Tỉnh/Thành phố
"Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà mặt phố, mặt tiền",Đã có sổ,2,,115,234,Hà Nội
"Đường Tầm Vu, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường Hưng Lợi,"Nhà ngõ, hẻm",Đã có sổ,,3,60,31,Cần Thơ
"Đường Nguyễn Thái Bình, Xã Hòa Thắng, Thành phố Buôn Ma Thuột, Đắk Lắk",,Xã Hòa Thắng,"Nhà ngõ, hẻm",Đã có sổ,,,125,3,Đắk Lắk
"Đường Nam Pháp, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",Quận Ngô Quyền,Phường Lạch Tray,"Nhà ngõ, hẻm",Đã có sổ,4,,3775,45,Hải Phòng
"Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Quận Liên Chiểu,Phường Hòa Minh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,65,110,Đà Nẵng
"nguyễn chí thanh, Phường Bình Nhâm, Thị xã Thuận An, Bình Dương",,Phường Bình Nhâm,"Nhà mặt phố, mặt tiền",Đã có sổ,,,103,36,Bình Dương
"Đường Xô Viết Nghệ Tĩnh, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",,Phường Thành Công,"Nhà mặt phố, mặt tiền",Đã có sổ,,,90,13,Đắk Lắk
"6/9, Nguyễn Trác, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",,Phường Tân Lợi,"Nhà ngõ, hẻm",Đã có sổ,4,2,120,23,Đắk Lắk
"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,,31,85,Hà Nội
"Đường Ụ Cây, Phường 10, Quận 8, Tp Hồ Chí Minh",Quận 8,Phường 10,"Nhà mặt phố, mặt tiền",Đã có sổ,2,4,45,124,Tp Hồ Chí Minh
"Đường Phạm Ngũ Lão, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường An Hòa,"Nhà ngõ, hẻm",Đã có sổ,,,66,26,Cần Thơ
"Đường Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Hồ Chí Min",Quận 12,Phường Thạnh Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,,5,60,76,Hồ Chí Min
"đường tránh, Phường Kim Long, Thành phố Huế, Thừa Thiên Huế",,Phường Kim Long,"Nhà mặt phố, mặt tiền",Đã có sổ,,,16,6,Thừa Thiên Huế
"Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",,Phường Trảng Dài,"Nhà ngõ, hẻm",Đã có sổ,1,2,90,15,Đồng Nai
"Đường Bùi Thị Xuân, Phường 2, Thành phố Đà Lạt, Lâm Đồng",,Phường 2,"Nhà ngõ, hẻm",Đã có sổ,,,345,92,Lâm Đồng
"Đường Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Mai Dịch,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,32,165,Hà Nội
"Đường Hà Huy Tập, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",,Phường Tân Lợi,"Nhà mặt phố, mặt tiền",Đã có sổ,,,123,9,Đắk Lắk
"Đường Lâm Quang Ky, Phường An Hòa, Thành phố Rạch Giá, Kiên Giang",,Phường An Hòa,"Nhà mặt phố, mặt tiền",Đã có sổ,,,4120,6,Kiên Giang
"Bình Hoà 22, Phường Bình Hòa, Thị xã Thuận An, Bình Dương",,Phường Bình Hòa,"Nhà mặt phố, mặt tiền",Đã có sổ,,,758,13,Bình Dương
"117/1A4, Đường 16, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà ngõ, hẻm",Đã có sổ,2,3,52,107,Tp Hồ Chí Minh
"Đường Quốc lộ 13, Phường Vĩnh Phú, Thị xã Thuận An, Bình Dương",,Phường Vĩnh Phú,"Nhà ngõ, hẻm",Đã có sổ,,3,52,21,Bình Dương
"HẺM 54 HÙNG VƯƠNG, Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường Thới Bình,"Nhà ngõ, hẻm",Đã có sổ,,2,45,41,Cần Thơ
"Đường Kha Vạn Cân, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà mặt phố, mặt tiền",Đã có sổ,,,55,12,Tp Hồ Chí Minh
"Đường Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, Tp Hồ Chí Minh",Quận Phú Nhuận,Phường 12,"Nhà mặt phố, mặt tiền",Đã có sổ,4,,40,270,Tp Hồ Chí Minh
"Đường Tỉnh lộ 43, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Bình Chiểu,"Nhà ngõ, hẻm",Đã có sổ,4,2,1135,40,Tp Hồ Chí Minh
"Đường Số 4, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Phường An Lạc,"Nhà mặt phố, mặt tiền",Đã có sổ,,,90,27,Tp Hồ Chí Minh
"Duong So 45, Phường 5, Thành phố Vĩnh Long, Vĩnh Long",,Phường 5,"Nhà mặt phố, mặt tiền",Đã có sổ,,,91,9,Vĩnh Long
"Đường Lê Thanh Nghị, Phường Bách Khoa, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",Đã có sổ,9,,80,193,Hà Nội
"Đường Quang Trung, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Yên Nghĩa,"Nhà mặt phố, mặt tiền",Đã có sổ,,,48,141,Hà Nội
"Đường Phan Văn Sửu, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",Quận Tân Bình,Phường 13,"Nhà mặt phố, mặt tiền",Đã có sổ,3,4,32,193,Tp Hồ Chí Minh
"Hẻm 388, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường An Khánh,"Nhà mặt phố, mặt tiền",Đã có sổ,,,65,25,Cần Thơ
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà mặt phố, mặt tiền",Đã có sổ,,3,65,19,Hà Nội
"203, 203 Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Trung,"Nhà mặt phố, mặt tiền",Đã có sổ,,3,65,37,Hà Nội
"Đường Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa,"Nhà ngõ, hẻm",Đã có sổ,4,,42,83,Hà Nội
"vĩnh phú 1, Phường Vĩnh Phú, Thị xã Thuận An, Bình Dương",,Phường Vĩnh Phú,"Nhà mặt phố, mặt tiền",Đã có sổ,,,150,11,Bình Dương
"Đường Cao Đức Lân, Phường An Phú, Quận 2, Tp Hồ Chí Minh",Quận 2,Phường An Phú,"Nhà mặt phố, mặt tiền",Đã có sổ,,,60,31,Tp Hồ Chí Minh
"Đường Măng Lin, Phường 7, Thành phố Đà Lạt, Lâm Đồng",,Phường 7,"Nhà mặt phố, mặt tiền",Đã có sổ,,,205,12,Lâm Đồng
"12 Tam Đa, Phường Trường Thạnh, Quận 9, Tp Hồ Chí Minh",Quận 9,Phường Trường Thạnh,"Nhà mặt phố, mặt tiền",Đã có sổ,,,68,38,Tp Hồ Chí Minh
"Đường ĐT 602, Xã Hòa Sơn, Huyện Hòa Vang, Đà Nẵng",Huyện Hòa Vang,Xã Hòa Sơn,"Nhà ngõ, hẻm",Đã có sổ,,,200,6,Đà Nẵng
"Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Đội Cấn,"Nhà ngõ, hẻm",Đã có sổ,3,,50,53,Hà Nội
"Đường Phan Huy Ích, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Phường 12,Nhà phố liền kề,Đã có sổ,3,5,100,90,Tp Hồ Chí Minh
"Đường Số 8, Phường Linh Xuân, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Linh Xuân,"Nhà ngõ, hẻm",Đã có sổ,,,50,57,Tp Hồ Chí Minh
"Đường Đinh Quang Ân, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",,Phường Phước Tân,"Nhà ngõ, hẻm",Giấy tờ khác,,,80,8,Đồng Nai
"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",Giấy tờ khác,4,3,48,154,Hà Nội
"Ngô đến, Phường Vĩnh Phước, Thành phố Nha Trang, Khánh Hòa",,Phường Vĩnh Phước,"Nhà ngõ, hẻm",Giấy tờ khác,4,,625,26,Khánh Hòa
"Đường Vành Đai, Phường Thành Nhất, Thành phố Buôn Ma Thuột, Đắk Lắk",,Phường Thành Nhất,"Nhà ngõ, hẻm",Đã có sổ,,2,170,5,Đắk Lắk
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",Quận 9,Đường Liên Phường,"Nhà ngõ, hẻm",Đã có sổ,,1,170,32,Tp Hồ Chí Minh
"Đường Văn Cao, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",Quận Ngô Quyền,Phường Lạch Tray,"Nhà ngõ, hẻm",Đã có sổ,5,,39,21,Hải Phòng
"Đường Bùi Đình Túy, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Phường 12,"Nhà mặt phố, mặt tiền",Đã có sổ,1,3,80,26,Tp Hồ Chí Minh
"Đường Lý Thường Kiệt, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",,Phường Dĩ An,"Nhà mặt phố, mặt tiền",Đã có sổ,9,,88,60,Bình Dương
"Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Bưởi,"Nhà mặt phố, mặt tiền",Đã có sổ,,3,88,13,Hà Nội
"92/117, Đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Phường 21,"Nhà ngõ, hẻm",Đã có sổ,1,2,25,110,Tp Hồ Chí Minh
"Đường 3A||23715, Phường An Khánh, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường An Khánh,"Nhà mặt phố, mặt tiền",Đã có sổ,1,3,76,60,Cần Thơ
"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Phường An Khê,"Nhà ngõ, hẻm",Đã có sổ,,,39,43,Đà Nẵng
"1111, Đường Bàu Gia Thượng 2, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng",Quận Cẩm Lệ,Phường Hòa Xuân,"Nhà ngõ, hẻm",Đã có sổ,,,332,52,Đà Nẵng
"Đường Lý Thái Tổ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Phường Chính Gián,"Nhà ngõ, hẻm",Đã có sổ,3,3,46,55,Đà Nẵng
"Đường Bà Hom, Phường 13, Quận 6, Tp Hồ Chí Minh",Quận 6,Phường 13,"Nhà ngõ, hẻm",Đã có sổ,1,,80,82,Tp Hồ Chí Minh
"79-81, 79-81 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",Quận Bình Thạnh,Phường 26,"Nhà ngõ, hẻm",Đang chờ sổ,,2,80,43,Tp Hồ Chí Minh
"Đường Bàu Lách, Xã Phạm Văn Cội, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,Xã Phạm Văn Cội,"Nhà ngõ, hẻm",Đã có sổ,,,300,6,Tp Hồ Chí Minh
"đường số 10, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà ngõ, hẻm",Đã có sổ,,3,300,39,Tp Hồ Chí Minh
"Đường Đào Tấn, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh,"Nhà ngõ, hẻm",Đã có sổ,3,1,50,53,Hà Nội
"Đường Liên Xã, Xã Hòa Sơn, Huyện Lương Sơn, Hòa Bình",Huyện Lương Sơn,Đường Liên Xã,"Nhà ngõ, hẻm",Đã có sổ,2,,810,6,Hòa Bình
"Đường Bình Long, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",Quận Tân Phú,Phường Tân Quý,"Nhà ngõ, hẻm",Đã có sổ,1,,28,100,Tp Hồ Chí Minh
"Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",Quận Liên Chiểu,Phường Hòa Minh,"Nhà mặt phố, mặt tiền",Đã có sổ,,,81,45,Đà Nẵng
"Đường Quốc lộ 13, Phường Vĩnh Phú, Thị xã Thuận An, Bình Dương",,Phường Vĩnh Phú,"Nhà mặt phố, mặt tiền",Đã có sổ,,2,81,25,Bình Dương
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",Huyện Nhà Bè,Xã Phước Kiển,"Nhà mặt phố, mặt tiền",Đang chờ sổ,,2,81,48,Tp Hồ Chí Minh
"Đường 22/12, Phường Thuận Giao, Thị xã Thuận An, Bình Dương",,Phường Thuận Giao,"Nhà mặt phố, mặt tiền",Đang chờ sổ,25,2,81,3,Bình Dương
"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà mặt phố, mặt tiền",Đã có sổ,7,,81,13,Hà Nội
"Đường Lê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,40,75,Hà Nội
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,,,34,41,Hà Nội
"lê hồng nhi, Phường Lê Bình, Quận Cái Răng, Cần Thơ",Quận Cái Răng,Phường Lê Bình,"Nhà mặt phố, mặt tiền",Đã có sổ,,,56,25,Cần Thơ
"Lập Thành, Xã Đông Xuân, Huyện Quốc Oai, Hà Nội",Huyện Quốc Oai,Xã Đông Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,,,736,6,Hà Nội
"Đường Nhựa, Xã Đức Lập Hạ, Huyện Đức Hòa, Long An",Huyện Đức Hòa,Xã Đức Lập Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,,,860,9,Long An
"123, Đường Đà Nẵng, Phường Cầu Tre, Quận Ngô Quyền, Hải Phòng",Quận Ngô Quyền,Phường Cầu Tre,"Nhà ngõ, hẻm",Đã có sổ,3,,40,44,Hải Phòng
"HẺM 150, Đường Nguyễn Thông, Phường An Thới, Quận Bình Thuỷ, Cần Thơ",Quận Bình Thuỷ,Phường An Thới,"Nhà ngõ, hẻm",Đã có sổ,,,64,19,Cần Thơ
"Đường Bến Than, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,Xã Tân Thạnh Đông,"Nhà ngõ, hẻm",Đã có sổ,,,132,10,Tp Hồ Chí Minh
"Hội Bài Châu Pha, Phường Phú Mỹ, Thị xã Phú Mỹ, Bà Rịa - Vũng Tàu",,Phường Phú Mỹ,"Nhà ngõ, hẻm",Đã có sổ,,,125,3,Bà Rịa - Vũng Tàu
"Đường Lê Lợi, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,5,,40,75,Hà Nội
"Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Thạch Bàn,"Nhà mặt phố, mặt tiền",Đã có sổ,,,34,41,Hà Nội
"lê hồng nhi, Phường Lê Bình, Quận Cái Răng, Cần Thơ",Quận Cái Răng,Phường Lê Bình,"Nhà mặt phố, mặt tiền",Đã có sổ,,,56,25,Cần Thơ
"Lập Thành, Xã Đông Xuân, Huyện Quốc Oai, Hà Nội",Huyện Quốc Oai,Xã Đông Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,,,736,6,Hà Nội
"Đường Nhựa, Xã Đức Lập Hạ, Huyện Đức Hòa, Long An",Huyện Đức Hòa,Xã Đức Lập Hạ,"Nhà mặt phố, mặt tiền",Đã có sổ,,,860,9,Long An
"123, Đường Đà Nẵng, Phường Cầu Tre, Quận Ngô Quyền, Hải Phòng",Quận Ngô Quyền,Phường Cầu Tre,"Nhà ngõ, hẻm",Đã có sổ,3,,40,44,Hải Phòng
"hẻm 6 bùi thị xuân, Phường Thới Bình, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường Thới Bình,"Nhà ngõ, hẻm",Đã có sổ,,,110,18,Cần Thơ
"Đường Nguyễn Thị Minh Khai, Phường 7, Thành phố Trà Vinh, Trà Vinh",,Phường 7,"Nhà mặt phố, mặt tiền",Đã có sổ,1,4,197,43,Trà Vinh
"đông phú, Xã Đại Hiệp, Huyện Đại Lộc, Quảng Nam",Huyện Đại Lộc,Xã Đại Hiệp,"Nhà mặt phố, mặt tiền",Đã có sổ,,,100,3,Quảng Nam
"75A, Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",Quận Tân Phú,Phường Hiệp Tân,"Nhà mặt phố, mặt tiền",Đang chờ sổ,,1,100,33,Tp Hồ Chí Minh
"Đường Ngọc Anh, Xã Phú Thượng, Huyện Phú Vang, Thừa Thiên Huế",Huyện Phú Vang,Xã Phú Thượng,"Nhà mặt phố, mặt tiền",Đã có sổ,,,103,12,Thừa Thiên Huế
"Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà ngõ, hẻm",Đã có sổ,,,60,14,Tp Hồ Chí Minh
"Đường Chùa Khê Lôi, Xã Liêm Tiết, Thành phố Phủ Lý, Hà Nam",,Xã Liêm Tiết,"Nhà ngõ, hẻm",Đã có sổ,,,110,15,Hà Nam
"Đường Trung Mỹ Tây 13, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",Quận 12,Phường Trung Mỹ Tây,"Nhà mặt phố, mặt tiền",Đã có sổ,4,,85,57,Tp Hồ Chí Minh
"Đường Số 9, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Hiệp Bình Chánh,"Nhà mặt phố, mặt tiền",Đã có sổ,2,,78,96,Tp Hồ Chí Minh
Vai Réo,,,"Nhà mặt phố, mặt tiền",Đã có sổ,,,169,13,#VALUE!
"Đường Bùi Quang Là, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Phường 12,"Nhà ngõ, hẻm",Đã có sổ,3,5,53,105,Tp Hồ Chí Minh
"102/42, đường 3/2, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",Quận Ninh Kiều,Phường Hưng Lợi,"Nhà ngõ, hẻm",Đã có sổ,,,1237,24,Cần Thơ
"116, Đường Thiên Phước, Phường 9, Quận Tân Bình, Tp Hồ Chí Minh",Quận Tân Bình,Phường 9,"Nhà ngõ, hẻm",Đã có sổ,3,,50,156,Tp Hồ Chí Minh
"51/4c, Đường Thạnh Lộc 52, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Quận 12,Phường Thạnh Lộc,"Nhà ngõ, hẻm",Đã có sổ,,3,70,35,Tp Hồ Chí Minh
"Đường Nguyễn Khuyến, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",,Phường Trảng Dài,"Nhà ngõ, hẻm",Đã có sổ,1,2,90,15,Đồng Nai
"Đường Số 8, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Linh Trung,"Nhà ngõ, hẻm",Đã có sổ,1,2,64,45,Tp Hồ Chí Minh
"434/79/76, Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Phường 9,Nhà phố liền kề,Đã có sổ,3,4,60,99,Tp Hồ Chí Minh
"Đường Trần Hưng Đạo, Phường Điện Ngọc, Thị xã Điện Bàn, Quảng Nam",,Phường Điện Ngọc,Nhà phố liền kề,Đã có sổ,,,199,14,Quảng Nam
"Đường Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",Đã có sổ,5,3,38,85,Hà Nội
"Đường Đặng Văn Bi, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",Quận Thủ Đức,Phường Trường Thọ,"Nhà ngõ, hẻm",Đã có sổ,,,55,15,Tp Hồ Chí Minh
"Đường Xuân La, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,,3,55,12,Hà Nội
"Đường Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Bùi Thị Xuân,"Nhà mặt phố, mặt tiền",Đã có sổ,7,,50,590,Hà Nội
"Duong So 27 Khu Dan Cu Tran Anh, Xã Mỹ Hạnh Nam, Huyện Đức Hòa, Long An",Huyện Đức Hòa,Xã Mỹ Hạnh Nam,"Nhà mặt phố, mặt tiền",Đã có sổ,,,85,10,Long An
"17A, Phường 5, Thành phố Vĩnh Long, Vĩnh Long",,Phường 5,"Nhà ngõ, hẻm",Đã có sổ,,,90,9,Vĩnh Long
"Đông la, Xã Đông La, Huyện Hoài Đức, Hà Nội",Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,,,60,17,Hà Nội
"phan huy ichd, Phường 12, Quận Gò Vấp, Tp Hồ Chí Minh",Quận Gò Vấp,Phường 12,Nhà phố liền kề,Đã có sổ,3,4,42,123,Tp Hồ Chí Minh
"Đường Hoàng Tăng Bí, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng",Quận Cẩm Lệ,Phường Hòa An,Nhà phố liền kề,Đã có sổ,,,110,32,Đà Nẵng
"Đường Lê Đình Cẩn, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",Quận Bình Tân,Phường Tân Tạo,"Nhà ngõ, hẻm",Đã có sổ,4,,1395,50,Tp Hồ Chí Minh
"Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn, Huyện Hóc Môn, Tp Hồ Chí Minh",Huyện Hóc Môn,Xã Xuân Thới Sơn,Nhà phố liền kề,Đã có sổ,1,2,32,20,Tp Hồ Chí Minh
"Đường Nguyễn Trung Trực, Phường 3, Thành phố Đà Lạt, Lâm Đồng",,Phường 3,"Nhà ngõ, hẻm",Đã có sổ,,3,98,59,Lâm Đồng
"Đường Ấp 3, Xã Quy Đức, Huyện Bình Chánh, Tp Hồ Chí Minh",Huyện Bình Chánh,Xã Quy Đức,"Nhà ngõ, hẻm",Đã có sổ,,,174,9,Tp Hồ Chí Minh
"Đường Thạnh Xuân 14, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Quận 12,Phường Thạnh Xuân,"Nhà ngõ, hẻm",Giấy tờ khác,,,53,19,Tp Hồ Chí Minh
"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng",Quận Thanh Khê,Phường Chính Gián,"Nhà ngõ, hẻm",Giấy tờ khác,2,3,50,48,Đà Nẵng
"Đường Xa lộ Hà Nội, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương",,Phường Bình Thắng,"Nhà ngõ, hẻm",Đã có sổ,,,1000,23,Bình Dương
"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,5,2,48,124,Hà Nội
"Số 4, Số 4 đường Bùi Cẩm Hổ, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh",Quận Tân Phú,Phường Tân Thới Hòa,"Nhà ngõ, hẻm",Đang chờ sổ,,2,48,27,Tp Hồ Chí Minh
"tích phú, Xã Đại Hiệp, Huyện Đại Lộc, Quảng Nam",Huyện Đại Lộc,Xã Đại Hiệp,"Nhà ngõ, hẻm",Đã có sổ,,,100,2,Quảng Nam
"Đường D38, Phường An Phú, Thị xã Thuận An, Bình Dương",,Phường An Phú,"Nhà ngõ, hẻm",Đã có sổ,4,,57,29,Bình Dương
"99 phú định, Phường 16, Quận 8, Tp Hồ Chí Minh",Quận 8,Phường 16,"Nhà ngõ, hẻm",Đã có sổ,,,40,85,Tp Hồ Chí Minh
