Mã căn / Mã căn hộ:,,title,Số phòng ngủ:,Tên phân khu/Lô/Block/Tháp:,Giấy tờ pháp lý:,Đặc điểm căn hộ:,Tình trạng bất động sản:,Mã lô:,Loại hình đất:,Diện tích:,Tầng số:,Tổng số tầng:,Chiều dài:,area,location,Chiều ngang:,Số phòng vệ sinh:,price,Hướng ban công:,Loại hình nhà ở:,Diện tích đất:,description,Giá/m2:,Tình trạng nội thất:,Diện tích sử dụng:,Hướng cửa chính:,Loại hình căn hộ:,Đặc điểm nhà/đất:,Loại hình văn phòng:
,,BÁN GẤP CĂN NHÀ TÂM HUYẾT 80M2 MẶT TIỀN 20M 1TỶ9,2 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,20 m,- 80 m2,"An Phú Tây - Hưng Long, Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh",4 m,2 phòng,"1,9 tỷ- 80 m2",,Nhà phố liền kề,80 m²,"Dự án: Nhà đẹp
Thông tin chi tiết: Do có công việc cần phải đi sang nước ngoài gấp, nên tôi muốn để lại căn nhà DT80m2 (ngang 4m dài 20m) 1t1l 2PN, 2WC, tâm huyết do chính tay tôi thiết kế.
Nằm ngay đường An Phú Tây - Hưng Long, sát chợ Thuận Đạt buôn bán kinh doanh thuận tiện
Trong khu dân cư hiện hữu, dân trí cao, an ninh 24/24, đường trước mặt 12m xe hơi ra vô tận nhà.
Thiết kế nội thất trẻ trung, hiện đại, toàn chất liệu châu Âu nhập khẩu, ốp gỗ tự nhiên
Nay tôi cần nhượng lại cho ai có nhu cầu
Giá 1tỷ9 có thương lượng ít cho người có thiện chia, tôi sang tên giấy tờ
Lh tôi đi xem nhà, miễn cò lái, cảm ơn.","23,75 triệu/m²",Nội thất đầy đủ,150 m²,Đông Bắc,,Hẻm xe hơi,
,,NHÀ TRỆT HẺM 305 NGUYỄN VĂN LINH,2 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,19 m,- 95 m2,"Đường Nguyễn Văn Linh, Phường 2, Thành phố Sóc Trăng, Sóc Trăng",5 m,1 phòng,990 triệu- 95 m2,,"Nhà ngõ, hẻm",95 m²,"NHÀ TRỆT - HẺM 305 - NGUYỄN VĂN LINH.

♻Diện tích: 5m x 19m. Thổ cư: 100%
♻Kết cấu: sân trước, phòng khách, 2 phòng ngủ, bếp, toilét, sân sau.
♻Hướng nhà: Đông Bắc.
♻Giá bán: 990 triệu.
☎Liên hệ: 0789.377.379 gặp #Vấn xem nhà.","10,42 triệu/m²",Nội thất đầy đủ,150 m²,Đông Bắc,,Hẻm xe hơi,
,,"Đất Vàng, Hoàng Cầu, Đống Đa, 115m, 27 tỷ, Ô Tô",3 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,19 m,- 115 m2,"Đường Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",5 m,1 phòng,27 tỷ- 115 m2,,"Nhà mặt phố, mặt tiền",115 m²,"Mảnh Đất Vàng, Hoàng Cầu, Đống Đa, 115m*MT5m, 27 tỷ, Ô Tô Tránh, Kinh Doanh Đỉnh.
+ Vị trí siêu hiếm - siêu đẹp - siêu rẻ. Trung tâm Đống Đa, sát Quận ủy. Ngõ Hoàng Cầu to hơn phố, đẹp hơn mặt Xã Đàn bởi ô tô 2 chiều, dừng đỗ thoải mái.
+ Mặt phố phát triển cực nhanh, nhiều tòa nhà Văn phòng, khách sạn, trường học, kinh doanh đa ngành rất tốt.
+ Lợi thế lô đất mặt tiền rộng, nở hậu, xây dựng theo ý chủ, sót lại của hiếm Đống Đa.
+ Nhà 2 tầng, xác định bán đất, hiện đang cho thuê 60triệu/tháng. Khách mua xây toà nhà 8-10 tầng đẹp tuyệt vời.
+ Sổ đẹp nở hậu, sang tên nhanh.
Liên hệ: Xuân Quang ( Chuyên nhà đẹp Đống Đa )-( tư vấn và xem nhà miễn phí, 24/24 )","234,78 triệu/m²",Nội thất đầy đủ,150 m²,Đông Bắc,,Hẻm xe hơi,
,,Nhà lầu góc 3 mặt tiền hẻm 278- tầm vu -Hưng lợi,3 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,12 m,- 60 m2,"Đường Tầm Vu, Phường Hưng Lợi, Quận Ninh Kiều, Cần Thơ",4 m,2 phòng,"1,87 tỷ- 60 m2",,"Nhà ngõ, hẻm",60 m²,"🌹 Nhà lầu đúc mới đẹp - Góc 3 mặt tiền - Số: 22 hẻm 278 Tầm Vu - P.Hưng Lợi - Ninh Kiều - Cần Thơ.
__________________________

• Diện tích: 4 x 12 = 48,2m2 - Hướng: Tây bắc.

• Pháp lý: ODT 100%, nhà đã hoàn công.

• Lộ giới: Trước nhà 2 mét sạch đẹp và không ngập nước.

• Kết cấu: Nhà lầu đúc còn mới thiết kế hiện đại, sang trọng, không gian rộng rãi có 3 phòng ngủ, 1 phòng khách, toilet và bếp + phòng ăn - Nhà nằm góc 3 mặt tiền nên rất thoáng mát và sáng sủa.

• Vị trí: Nhà nằm cách hẻm nhựa 10m, cách đường Tầm Vu 60m hẻm đã nâng cấp sạch sẽ, vị trí rất gần - Khu vực dân cư sung túc, dân trí cao, hạ tầng đã hoàn thiện, vị trí gần và đẹp môi trường sống tuyệt vời, bán kín 500m có đầy đủ các tiện ít sống, rất thuận tiện cho việc cư trú, học tập, kinh online, spa,...
__________________________

• Giá: 1 tỷ 870 triệu (thương lượng)","31,17 triệu/m²",Nội thất đầy đủ,120 m²,Đông Bắc,,Hẻm xe hơi,
,,"BÁN ĐẤT Ở GẦN SÂN BAY HOÀ THẮNG, TP BUÔN MA THUỘT",3 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,25 m,- 125 m2,"Đường Nguyễn Thái Bình, Xã Hòa Thắng, Thành phố Buôn Ma Thuột, Đắk Lắk",5 m,2 phòng,380 triệu- 125 m2,,"Nhà ngõ, hẻm",125 m2,"GIÁ 380tr
-Diện tích: 5x25
-Thổ cư: 60m2
-Hướng: Tây
-Giá cực rẻ
Lô đất vuông vắn bằng phẳng, nằm cách Quốc Lộ 27 ( Nguyễn Thái Bình ) chỉ 3p.
Sổ sẵn có thể công chứng ngay, cách hồ Cuôr Kắp chỉ 3 phút đi bộ, dân cư hiện hữu, Cách ngã sáu 12km.
Thíc hợp an cư hoặc đầu tư lâu dài và nghĩ dưỡng.","3,04 triệu/m2",Nội thất đầy đủ,120 m²,Tây,,Hẻm xe hơi,
,,"Nhà phố trung tâm 4 tầng chỉ 1,7 tỷ chỉ việc về ở",3 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,,25 m,- 37.75 m2,"Đường Nam Pháp, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",5 m,3 phòng,"1,7 tỷ- 37.75 m2",,"Nhà ngõ, hẻm",37.75 m²,"Chính chủ bán nhà ngõ Nam Pháp 1, Đằng Giang, Ngô Quyền Hải Phòng
🌲 DTMB: 37,75 m2
🍄 Hướng: Tây nam
🍀 Sổ đỏ chính chủ
💖💖💖 Nhà xây 4 tầng hiện đại công năng sử dụng cao, nhà nở hậu rất có lộc, nhà sạch đẹp chỉ việc xách đồ về ở.
💰💰💰 Giá: 1,7 tỷ có TT
☎️☎️☎️ alo ngay:","45,95 triệu/m²",Nội thất đầy đủ,120 m²,Tây,,Hẻm xe hơi,
,,Nhà bình hòa thuận an giá rẻ,4 phòng,Phân khu 8B,Đã có sổ,,,,Đất thổ cư,,,3,14 m,- 53 m2,"Đường ĐT 743, Phường Bình Hòa, Thị xã Thuận An, Bình Dương",4 m,4 phòng,"2,8 triệu- 53 m2",,"Nhà ngõ, hẻm",53 m²,"Nhà đẹp ngay vincom 550.
Khu phố đồng an 3. binh hòa,thuận an.Bd 
Dt : 53,1m2.( 4* 14m ) thổ cư full.
Thiết kế : 1 trệt,2 lầu. đúc kiên cố. chắc chắn.
Mặt tiền đường xe hơi 5m .sạch đẹp. cách đường lớn chỉ 50m.
Vị trí : ngay ngã tư 550, tiện ích đầy đủ : chợ,ngân hàng,siêu thị, điện máy..vv. chỉ 500m sở hữu trọn gói.
Phong thủy : hướng chính ĐÔNG mát mẻ.
Gía chỉ : 2,8 tỷ.
Ib : .",52.830 đ/m²,Nội thất đầy đủ,160 m²,Tây,,Hẻm xe hơi,
,,CĂN HỘ ĐẸP GIÁ RẺ TẠI DỰ ÁN IEC THANH TRÌ,2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,14 m,- 70 m2,"Đường Vành Đai 3, Phường Yên Sở, Quận Hoàng Mai, Hà Nội",4 m,2 phòng,"15,8 triệu- 70 m2",Đông Nam,"Nhà ngõ, hẻm",53 m²,"Dự án: iec tứ hiêp.
Thông tin chi tiết: 𝑰𝑬𝑪 - 𝑻𝒉𝒂𝒏𝒉 𝑻𝒓𝒊̀ - 𝑵𝒉𝒖̛̃𝒏𝒈 𝑪𝒂̆𝒏 𝑪𝒖𝒐̂́𝒊 
Diện Tích căn hộ :
 Căn: 64m2
 Căn: 70m2
Vị Trí: 𝑻𝒂̂̀𝒏𝒈 𝑻𝒓𝒖𝒏𝒈 Đ𝒆̣𝒑 ( 𝑪𝒂̆𝒏 70𝒎2 𝒃𝒂𝒏 𝒄𝒐̂𝒏𝒈 Đ𝒐̂𝒏𝒈 𝒏𝒂𝒎 )
⚡️ Dự án hiện đang hoàn thiện thần tốc để sớm bàn giao đến Quý khách vào tháng 4 năm 2021
:boom: Hiện tại Dự Án chỉ còn vài căn 64m2 & 70m2 Quỹ Mua thẳng cuối cùng !
Quỹ căn Thuê Mua đẹp !!!
Quý khách hãy liên hệ cho em để Mua hoặc Thuê Mua 𝐂𝐚̆𝐧 Đ𝐞̣𝐩 & giá tốt .
:gem: Ngân hàng AgriBank hỗ trợ vay vốn 70% giá trị căn hộ thời hạn 15 trả góp 15 năm với nhiều ưu đãi hấp dẫn.
Phòng Tư Vấn & Tiếp nhận hồ sơ dự án.
Đ/c : Đường Cổ Điển A - Tứ Hiệp - Thanh Trì - Hà nội
Tư vấn, hỗ trợ hồ sơ, thủ tục hoàn toàn miễn phí
ĐT:",225.714 đ/m²,Nội thất đầy đủ,160 m²,Tây Bắc,Chung cư,Hẻm xe hơi,
,,Siêu phâm nhà 4 tầng đường Tôn Đức Thắng Đà Nẵng,4 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,9.8 m,- 65 m2,"Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",7 m,4 phòng,"7,2 tỷ- 65 m2",Đông Nam,"Nhà mặt phố, mặt tiền",65 m²,"Bán siêu phẩm toà nhà thương mại 4 tầng ,2 mặt tiền ,đường chính Tôn Đức Thắng ngang 7m, Diện tích đất 65m, đường bên hông 6m ôtô thông ra UBND quận, toà nhà nằm vị trí vô cùng đắc địa sầm uất nguời đông đúc từ sáng đến tối,mở cửa là có tiền,kinh doanh đa ngành nghề,nhà hàng, cafe,áo cưới ,spa,hoặc cho thuê văn phòng, toà nhà có tất cả các tiện ích xung quanh phía trước mặt là chợ hoà khánh, bên phải là 3 trường đại học, phía sau là khu ký túc xá 4000 sinh viên và bên trái là trục 60 đi ra biển chỉ vài trăm mét ,4 tầng ,4 pn,nhà mới xd.
Giá chỉ 7ty2 hơn nhà kiệt oto tý thôi nhanh tay chốt
Liên hệ: Sỹ chuyên nhà đất phố Đà Nẵng","110,77 triệu/m²",Nội thất đầy đủ,240 m²,Tây Bắc,Chung cư,Hẻm xe hơi,
,,"Nhà MT Nguyễn Chí Thanh ( Bình Nhâm , Thuận An)",2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,21 m,- 103 m2,"nguyễn chí thanh, Phường Bình Nhâm, Thị xã Thuận An, Bình Dương",5 m,2 phòng,"3,75 tỷ- 103 m2",Đông Nam,"Nhà mặt phố, mặt tiền",103 m²,"Chủ gởi bán lô đất tặng nhà mặt tiền Nguyễn Chí Thanh , Thuận An Bình Dương , Kinh doanh buôn bán vạn ngành nghề ....( hạ giá bán gấp để ăn tết)
Diện tích :102m tc 60m
Giá :3t7xx Hỗ trợ ngân hàng tẹt háng","36,41 triệu/m²",Nội thất đầy đủ,240 m²,Tây Bắc,Chung cư,Hẻm xe hơi,
,,"BÁN ĐẤT TẶNG NHÀ HẺM XÔ VIẾT NGHỆ TĨNH 5*18-1,2Tỷ",2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,18 m,- 90 m2,"Đường Xô Viết Nghệ Tĩnh, Phường Thành Công, Thành phố Buôn Ma Thuột, Đắk Lắk",5 m,2 phòng,"1,2 tỷ- 90 m2",Đông Nam,"Nhà mặt phố, mặt tiền",90 m2,"Dự án: Mua đất tặng nhà nhỏ gác lửng góc 2mt hẻm Xô Viết Nghệ Tĩnh..
 Thông tin chi tiết: 💥Mua đất tặng nhà nhỏ gác lửng góc 2mt hẻm Xô Viết Nghệ Tĩnh. Thế đất cao ráo, vị trí gần chợ, khu dân cư đông đúc, đường betong oto, hẻm cụt an ninh, khu vực trung tâm đầy đủ tiện ích. 
🗾dt 5x18m. 🏫thổ cư 100%. 
☀️hướng đông hơi chếch bắc
💵giá chính chủ 1ty200 ko thương lượng","13,33 triệu/m2",Nội thất đầy đủ,240 m²,Đông Bắc,Chung cư,Mặt tiền,
,,Bán nhà cấp 4 kiên cố,2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,20 m,- 120 m2,"6/9, Nguyễn Trác, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk",6 m,1 phòng,"2,8 tỷ- 120 m2",Đông Nam,"Nhà ngõ, hẻm",120 m²,"Nhà hẻm xe oto, cách Nguyễn Khuyến khoản 50m. Gần các tiện ích xã hội, hàng xóm thân thiện, khu vực an ninh. nhà 1 phòng khách, 2 phòng ngủ, 1 bếp, 1 toilet, giếng trời. Thích hợp định cư lâu dài. Nhà chính chủ.","23,33 triệu/m²",Nội thất đầy đủ,120 m²,Đông Nam,Chung cư,Hẻm xe hơi,
,,"Nhà Đẹp Giá Rẻ Cầu Giấy 31m 4 Tầng 2 Thoáng,Nở Hậu",2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,4,20 m,- 31 m2,"Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",6 m,1 phòng,"2,65 tỷ- 31 m2",Đông Nam,"Nhà ngõ, hẻm",31 m²,"📣📣Nhà Đẹp Giá Rẻ Cầu Giấy 31m 4 Tầng 2 Thoáng, Nở Hậu Giá 2.65 tỷ.📣📣 
❇Mô tả:❇️
✔️- Thiết kế với 4 tầng cửa sổ thoáng.
+ T1: khách + bếp. 
+ T2+3: 2 ngủ khép kín. 
+ T4: phòng thờ + sân phơi, có thể cải tạo thêm 1 ngủ. 
✔️- Ngõ thông tứ tung, ba gác đỗ cửa.
✔️- Nhà 2 mặt thoáng, đẹp như mới, khách mua về chỉ việc ở. 
📕📕- Sổ riêng biệt, vuông vắn nở hậu. 
☎️☎️LH em Diện miến MG.","85,48 triệu/m²",Nội thất đầy đủ,120 m²,Đông Nam,Chung cư,Nở hậu,
,,Nhà Mặt Tiền Quận 8 Cầu Nguyễn Tri Phương,4 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,10 m,- 45 m2,"Đường Ụ Cây, Phường 10, Quận 8, Tp Hồ Chí Minh",4 m,5 phòng,"5,6 tỷ- 45 m2",Đông Nam,"Nhà mặt phố, mặt tiền",45 m²,"Mặt tiền ngay Chân cầu Nguyễn Tri Phương. Sát chợ Ba Đình - Xóm Củi.
Thuận tiện di chuyển Quận 5 ( qua cầu Nguyễn Tri Phương ), Quận 1, Quận 8, Quận 7, không ngập không kẹt xe, Khu dân cư sầm uất, thông thoáng. Hứa hẹn khu nhà ở phát triển, hiệu quả tài chính, giá trị nhà lên cao.
Có 2 căn cách ngã tư Ụ Cây Hưng Phú 4 - 5 căn Nhìn xéo là chợ xóm củi.
Giá : 5T550 ( còn thương lượng nhẹ)
Doanh Thu 13 Triệu tháng hiện hữu.
Cấu trúc nhà : 1 trệt 2 lầu 1 sân thượng ( 4 phòng ngủ và 4 ban công, cửa sổ đầy đủ mỗi phòng)","124,44 triệu/m²",Nội thất đầy đủ,43 m²,Đông Nam,Chung cư,Nở hậu,
,,BÁN GẤP TRONG 2 NGÀY GIÁ CỰC THƠM,2 phòng,Phân khu 8B,Đã có sổ,,Chưa bàn giao,,Đất thổ cư,70 m²,,3,10 m,- 66 m2,"Đường Phạm Ngũ Lão, Phường An Hòa, Quận Ninh Kiều, Cần Thơ",4 m,1 phòng,"1,75 tỷ- 66 m2",Đông Nam,"Nhà ngõ, hẻm",66 m²,"🤩🤩🤩Kèo thơm ,,, 
(Chủ bể nợ ,,, giá nào cũng bán trong 2 ngày)

Nhà Trệt mới tuyệt đẹp , Ngay trung tâm Tp - Hẻm 43 - Phạm Ngũ Lão 
- Diện tích: 5,15 x 13 = 66m2.
- Hướng: Đông Nam.
- Lộ giới 3m.
- Pháp lí: Thổ cư + hoàn công.

🎁 Tặng Nội Thất gồm: 2 Gường Ngủ, 2 Máy Lạnh,2 Tủ Áo,1 Máy Giặt,1 Tủ lạnh,Bộ bàn ăn,1 Bàn trang điểm,máy nóng lạnh.
- Giá: 1 tỉ 7xxx
☎️☎️ gặp Toàn","26,52 triệu/m²",Nội thất đầy đủ,66 m²,Đông Nam,Chung cư,Nở hậu,
